 
acl 2.3.1-3
nss 3.88.1-1
ntfs-3g 2022.10.3-1
numactl 2.0.16-1
nvme-cli 2.3-1
oath-toolkit 2.6.7-1
open-iscsi 2.1.8-2
open-isns 0.102-2
open-vm-tools 6:12.1.5-2
openconnect 1:9.01-2
openssh 9.2p1-1
openssl 3.0.8-1
openvpn 2.6.0-1
opus 1.3.1-3
p11-kit 0.24.1-1
pacman 6.0.2-5
pacman-mirrorlist 20230226-1
pam 1.5.2-1
pambase 20221020-1
partclone 0.3.23-1
parted 3.5-1
partimage 0.6.9-14
pbzip2 1.1.13-3
pcaudiolib 1.2-2
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-2
perl 5.36.0-3
pigz 2.7-3
pinentry 1.2.1-1
pixz 1.0.7-4
pkcs11-helper 1.29.0-2
polkit 122-1
popt 1.19-1
ppp 2.4.9-3
pptpclient 1.10.0-3
procps-ng 3.3.17-1
psmisc 23.6-1
pv 1.6.20-2
python 3.10.9-1
python-attrs 22.2.0-1
python-cffi 1.15.1-1
python-chardet 5.1.0-1
python-configobj 5.0.6.r110.g3e2f4cc-3
python-cryptography 39.0.1-1
python-idna 3.4-1
python-jinja 1:3.1.2-2
python-jsonpatch 1.32-3
python-jsonpointer 2.3-1
python-jsonschema 4.17.3-1
python-markupsafe 2.1.2-1
python-netifaces 0.11.0-3
python-oauthlib 3.2.2-1
python-ply 3.11-10
python-pycparser 2.21-3
python-pyrsistent 0.19.3-1
python-pyserial 3.5-4
python-requests 2.28.2-1
python-six 1.16.0-6
python-typing_extensions 4.5.0-1
python-urllib3 1.26.12-1
python-yaml 6.0-1
qemu-guest-agent 7.2.0-3
readline 8.2.001-2
refind 0.13.3.1-1
reflector 2021.11-5
reiserfsprogs 3.6.27-4
rp-pppoe 3.15-2
rpcbind 1.2.6-3
rsync 3.2.7-3
run-parts 5.5-1
rxvt-unicode-terminfo 9.31-1
screen 4.9.0-1
sdparm 1.12-1
sed 4.9-2
sg3_utils 1.47-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
smartmontools 7.3-1
sof-firmware 2.2.4-1
sqlite 3.41.0-1
squashfs-tools 4.5.1-2
sshfs 3.7.3-1
stoken 0.92-4
sudo 1.9.13.p2-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
systemd 253-1
systemd-libs 253-1
systemd-resolvconf 253-1
systemd-sysvcompat 253-1
talloc 2.4.0-2
tar 1.34-1
tcl 8.6.13-1
tcpdump 4.99.3-1
terminus-font 4.49.1-5
testdisk 7.1-5
texinfo 7.0.2-2
thin-provisioning-tools 1.0.2-1
tmux 3.3_a-3
tpm2-tss 3.2.0-3
tzdata 2022g-2
udftools 2.3-1
uriparser 0.9.7-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-2
usbutils 015-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
vim 9.0.1337-1
vim-runtime 9.0.1337-1
virtualbox-guest-utils-nox 7.0.6-3
vpnc 1:0.5.3.r526.r213-1
which 2.21-6
wireless-regdb 2023.02.13-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-8
wvdial 1.61-8
wvstreams 4.6.1-20
xcb-proto 1.15.2-2
xdg-utils 1.1.3+25+g8ae0263-1
xfsprogs 6.1.1-2
xl2tpd 1.3.18-1
xmlsec 1.2.37-1
xorg-xprop 1.2.6-1
xorg-xset 1.2.5-1
xorgproto 2022.2-1
xplc 0.3.13-10
xxhash 0.8.1-3
xz 5.4.1-1
zlib 1:1.2.13-2
zsh 5.9-3
zstd 1.5.4-1
